customer_id,efectivo,aerolineas,agencias_viajes,articulos_electricos,casinos,compras_internet,farmacias,gasolineras,hoteles,otros,renta_autos,restaurantes,supermercado,tiendapordepartamento
17800001,0,0,0,0,0,0,0,194.7,0,0,0,846.75,3881.15,0
17800002,0,8678.95,0,0,0,0,0,0,17981.91,2915.63,0,0,7008.62,2715.48
17800003,0,0,0,0,0,0,0,0,0,0,0,627.52,2943.28,0
17800004,12266.1,0,0,0,0,0,87.03,0,0,0,0,0,5786.09,1167.23
17800005,194.7,0,0,2259.49,0,0,0,1070.85,0,0,0,8655.19,0,0
17800006,17523,0,0,1362.9,0,0,1938.24,0,0,8216.34,0,1460.25,9690.61,4275.22
17800007,0,0,0,0,0,0,0,0,1591.67,0,0,0,2951.85,0
17800008,0,0,0,0,0,0,0,0,0,0,0,0,206.58,0
17800009,0,0,0,1323.57,0,0,2636.04,0,0,866.41,0,3025.44,455.01,1879.83
17800010,37771.8,0,0,1348.1,0,0,845.58,0,0,0,0,656.14,5494.43,1411.19
17800011,0,0,0,0,0,0,0,0,0,0,0,0,12387.2,0
17800012,0,0,0,0,0,0,0,0,0,0,0,0,2657.27,535.04
17800013,38940,0,0,0,0,0,0,0,0,0,0,0,0,0
17800014,0,0,0,0,0,0,0,0,0,194.7,0,0,3638.75,6515.05
17800015,0,0,0,0,0,0,0,0,0,0,0,0,1509.51,0
17800016,0,16938.9,0,3260.45,0,0,0,1572.79,0,0,0,637.45,1777.03,982.85
17800017,0,0,0,0,0,0,0,0,0,0,0,0,8548.89,0
17800018,0,0,0,548.66,0,18184.98,0,0,0,795.54,0,759.33,5624.1,2355.87
17800019,2336.4,7782.35,0,6002.41,0,0,1112.91,6018.57,0,246.1,0,143.69,21020.01,2156.5
17800020,0,0,0,0,0,0,0,1168.2,0,0,0,233.25,14622.55,355.72
17800021,0,0,0,0,0,0,1263.8,1630.61,0,0,0,0,783.67,0
17800022,13629,0,0,1165.28,0,8134.18,0,0,0,16648.6,0,0,9097.94,1388.21
17800023,0,0,0,0,0,0,900.29,0,0,0,0,168.8,1058.19,1557.21
17800024,0,0,0,660.03,50427.3,0,0,292.05,0,0,0,0,1156.71,0
17800025,0,10026.47,0,2233.6,0,0,0,389.4,0,0,0,178.73,663.93,979.93
