customer_id,sexo,estado_civil,nacimiento
17800001,2,1,1952
17800002,1,2,1961
17800003,1,2,1949
17800004,1,1,1971
17800005,1,2,1975
17800006,1,2,1953
17800007,1,1,1965
17800008,2,2,1948
17800009,2,2,1976
17800010,2,3,1969
17800011,1,2,1955
17800012,1,1,1965
17800013,2,5,1968
17800014,2,5,1943
17800015,2,1,1952
17800016,2,3,1979
17800017,1,2,1962
17800018,2,2,1956
17800019,1,2,1955
17800020,1,2,1970
17800021,1,2,1976
17800022,1,2,1948
17800023,1,2,1967
17800024,2,3,1969
17800025,1,3,1977
17800026,1,2,1959
17800027,1,2,1962
17800028,1,2,1948
17800029,2,2,1958
17800030,1,1,1978
17800031,1,2,1977
17800032,1,2,1961
17800033,2,2,1972
17800034,1,2,1974
17800035,1,2,1956
17800036,1,2,1959
17800037,1,2,1980
17800038,1,2,1976
17800039,1,2,1958
17800040,1,3,1957
17800041,1,1,1974
17800042,1,2,1950
17800043,2,2,1953
17800044,1,2,1958
17800045,1,2,1967
17800046,2,2,1957
17800047,1,2,1979
17800048,1,2,1968
17800049,1,2,1974
17800050,2,2,1972
17800051,1,2,1980
17800052,2,2,1965
17800053,1,2,1949
17800054,1,1,1967
17800055,1,1,1942
17800056,1,1,1959
17800057,1,2,1955
17800058,1,2,1969
17800059,1,2,1941
17800060,1,2,1964
17800061,2,1,1969
17800062,1,2,1956
17800063,1,2,1961
17800064,1,1,1954
17800065,1,2,1972
17800066,1,2,1955
17800067,1,2,1962
17800068,1,1,1955
17800069,1,3,1940
17800070,1,2,1975
17800071,1,2,1960
17800072,1,2,1958
17800073,2,1,1954
17800074,1,2,1957
17800075,1,2,1948
17800076,2,2,1961
17800077,2,2,1957
17800078,1,2,1942
17800079,2,2,1971
17800080,1,2,1980
17800081,2,3,1953
17800082,1,2,1971
17800083,1,2,1965
17800084,2,1,1971
17800085,1,1,1964
17800086,1,2,1969
17800087,1,2,1957
17800088,1,2,1951
17800089,2,2,1961
17800090,1,2,1965
17800091,1,2,1981
17800092,2,2,1960
17800093,1,1,1953
17800094,1,1,1980
17800095,2,2,1973
17800096,2,4,1963
17800097,1,2,1972
17800098,1,2,1969
17800099,1,2,1962
17800100,1,2,1973
17800101,1,1,1979
17800102,1,2,1973
17800103,1,2,1969
17800104,2,2,1978
17800105,1,2,1975
17800106,1,1,1955
17800107,1,2,1968
17800108,2,2,1975
17800109,1,2,1945
17800110,1,1,1941
17800111,2,2,1947
17800112,1,1,1961
17800113,1,2,1965
17800114,2,3,1963
17800115,1,2,1973
17800116,1,1,1976
17800117,1,2,1960
17800118,2,3,1947
17800119,1,1,1973
17800120,1,2,1971
17800121,2,2,1960
17800122,2,2,1970
17800123,1,1,1949
17800124,2,2,1959
17800125,1,2,1963
17800126,2,2,1972
17800127,1,1,1980
17800128,1,1,1957
17800129,1,2,1956
17800130,2,1,1978
17800131,1,2,1955
17800132,1,2,1959
17800133,1,1,1954
17800134,1,1,1964
17800135,2,3,1962
17800136,1,2,1962
17800137,2,3,1952
17800138,1,2,1974
17800139,2,2,1959
17800140,1,2,1965
17800141,1,2,1958
17800142,1,2,1955
17800143,2,2,1968
17800144,1,2,1958
17800145,2,1,1975
17800146,1,1,1963
17800147,1,2,1970
17800148,1,2,1980
17800149,1,2,1972
17800150,1,2,1969
17800151,1,2,1956
17800152,2,2,1963
17800153,1,2,1975
17800154,1,1,1975
17800155,2,1,1978
17800156,2,2,1966
17800157,1,1,1973
17800158,1,2,1968
17800159,1,2,1946
17800160,1,2,1972
17800161,1,2,1974
17800162,1,2,1966
17800163,2,2,1963
17800164,1,1,1961
17800165,2,2,1946
17800166,2,2,1975
17800167,2,3,1962
17800168,1,2,1955
17800169,1,1,1980
17800170,2,2,1960
17800171,1,2,1952
17800172,2,1,1968
17800173,1,2,1951
17800174,2,2,1958
17800175,1,2,1973
17800176,2,1,1980
17800177,2,1,1970
17800178,2,5,1959
17800179,1,2,1962
17800180,1,1,1956
17800181,2,1,1979
17800182,1,2,1970
17800183,1,2,1957
17800184,1,1,1964
17800185,2,2,1974
17800186,1,1,1951
17800187,2,1,1968
17800188,1,2,1945
17800189,1,1,1963
17800190,1,1,1953
17800191,1,1,1982
17800192,1,2,1944
17800193,2,5,1966
17800194,1,1,1942
17800195,2,2,1953
17800196,1,2,1955
17800197,1,2,1953
17800198,2,1,1969
17800199,1,1,1961
17800200,2,1,1966
17800201,1,1,1964
17800202,2,2,1964
17800203,2,2,1962
17800204,1,1,1948
17800205,1,2,1948
17800206,1,2,1963
17800207,2,1,1970
17800208,1,2,1976
17800209,2,2,1953
17800210,1,2,1972
17800211,1,1,1970
17800212,1,2,1945
17800213,1,2,1971
17800214,2,2,1952
17800215,1,2,1964
17800216,2,2,1968
17800217,2,2,1972
17800218,2,2,1967
17800219,1,2,1976
17800220,1,1,1982
17800221,2,2,1964
17800222,1,2,1963
17800223,1,2,1958
17800224,1,1,1980
17800225,1,1,1966
17800226,1,2,1950
17800227,2,2,1957
17800228,1,2,1953
17800229,1,2,1976
17800230,2,1,1960
17800231,2,2,1962
17800232,2,1,1970
17800233,1,3,1972
17800234,2,2,1949
17800235,2,1,1967
17800236,2,2,1946
17800237,1,2,1967
17800238,2,2,1970
17800239,1,2,1965
17800240,1,2,1973
17800241,2,2,1953
17800242,2,3,1961
17800243,1,2,1958
17800244,2,1,1975
17800245,1,2,1951
17800246,1,2,1947
17800247,1,2,1978
17800248,1,2,1961
17800249,2,2,1964
17800250,1,2,1969
17800251,1,2,1968
17800252,2,1,1979
17800253,1,2,1958
17800254,1,2,1962
17800255,2,1,1972
17800256,1,2,1965
17800257,2,1,1962
17800258,1,2,1968
17800259,2,2,1943
17800260,1,1,1982
17800261,1,1,1956
17800262,2,5,1956
17800263,1,2,1959
17800264,1,1,1983
17800265,1,1,1986
17800266,1,1,1978
17800267,1,2,1974
17800268,1,1,1976
17800269,1,1,1972
17800270,1,2,1955
17800271,2,2,1975
17800272,2,3,1965
17800273,2,1,1982
17800274,1,1,1938
17800275,1,1,1980
17800276,1,2,1959
17800277,2,2,1983
17800278,2,1,1970
17800279,2,2,1956
17800280,1,2,1962
17800281,2,2,1973
17800282,1,1,1978
17800283,1,2,1936
17800284,2,2,1955
17800285,1,2,1965
17800286,1,2,1957
17800287,1,2,1975
17800288,2,1,1967
17800289,1,2,1958
17800290,2,2,1958
17800291,1,2,1971
17800292,2,1,1962
17800293,2,1,1972
17800294,1,2,1959
17800295,1,2,1951
17800296,2,1,1975
17800297,1,2,1953
17800298,2,2,1958
17800299,1,2,1956
17800300,2,1,1960
17800301,1,2,1976
17800302,1,2,1954
17800303,1,1,1966
17800304,2,2,1972
17800305,1,1,1970
17800306,1,1,1964
17800307,1,2,1966
17800308,1,1,1961
17800309,1,2,1938
17800310,1,1,1976
17800311,1,2,1970
17800312,1,2,1972
17800313,2,2,1960
17800314,1,1,1971
17800315,2,1,1970
17800316,2,2,1968
17800317,2,1,1981
17800318,1,2,1965
17800319,1,2,1960
17800320,2,2,1981
17800321,1,2,1957
17800322,1,1,1969
17800323,1,2,1978
17800324,1,1,1982
17800325,2,2,1944
17800326,2,1,1957
17800327,2,2,1970
17800328,1,2,1964
17800329,1,1,1945
17800330,1,1,1969
17800331,1,1,1971
17800332,2,2,1965
17800333,1,2,1973
17800334,1,2,1973
17800335,1,2,1966
17800336,2,1,1951
17800337,2,2,1974
17800338,2,2,1964
17800339,1,4,1961
17800340,1,1,1960
17800341,1,2,1982
17800342,1,2,1961
17800343,1,1,1973
17800344,1,2,1973
17800345,1,2,1976
17800346,2,2,1963
17800347,1,1,1970
17800348,1,1,1978
17800349,1,3,1970
17800350,1,2,1944
17800351,2,1,1982
17800352,2,2,1948
17800353,1,1,1961
17800354,2,2,1961
17800355,1,2,1974
17800356,2,3,1968
17800357,2,1,1946
17800358,2,2,1978
17800359,2,2,1959
17800360,2,2,1965
17800361,1,1,1967
17800362,1,2,1971
17800363,1,1,1980
17800364,1,2,1981
17800365,2,2,1972
17800366,1,1,1976
17800367,1,2,1969
17800368,1,2,1964
17800369,1,3,1964
17800370,1,2,1971
17800371,2,2,1975
17800372,1,2,1961
17800373,1,2,1965
17800374,1,2,1956
17800375,1,2,1957
17800376,1,1,1966
17800377,2,2,1972
17800378,1,1,1985
17800379,2,1,1968
17800380,1,1,1980
17800381,2,2,1969
17800382,1,2,1961
17800383,2,1,1957
17800384,1,2,1974
17800385,1,2,1979
17800386,1,2,1966
17800387,1,2,1946
17800388,2,2,1980
17800389,1,2,1960
17800390,1,2,1975
17800391,1,2,1980
17800392,1,2,1950
17800393,1,1,1955
17800394,2,2,1949
17800395,1,2,1965
17800396,1,1,1979
17800397,1,1,1971
17800398,2,2,1965
17800399,1,2,1964
17800400,1,1,1973
17800401,1,2,1967
17800402,1,1,1970
17800403,1,1,1960
17800404,1,1,1967
17800405,1,1,1968
17800406,1,2,1968
17800407,1,2,1980
17800408,1,2,1952
17800409,1,2,1965
17800410,2,2,1954
17800411,1,2,1963
17800412,1,2,1999
17800413,1,2,1962
17800414,1,1,1974
17800415,1,2,1975
17800416,2,4,1984
17800417,1,2,1951
17800418,1,2,1961
17800419,1,1,1956
17800420,1,2,1950
17800421,1,1,1951
17800422,2,1,1956
17800423,1,2,1982
17800424,2,1,1954
17800425,1,1,1976
17800426,1,2,1979
17800427,2,2,1973
17800428,1,2,1957
17800429,1,2,1967
17800430,1,1,1975
17800431,1,1,1960
17800432,1,2,1948
17800433,2,3,1941
17800434,1,1,1952
17800435,1,2,1966
17800436,1,1,1980
17800437,1,1,1983
17800438,1,2,1958
17800439,1,1,1975
17800440,2,2,1956
17800441,1,2,1959
17800442,1,2,1974
17800443,2,2,1956
17800444,2,2,1973
17800445,2,1,1976
17800446,1,1,1978
17800447,1,2,1974
17800448,1,2,1945
17800449,1,2,1960
17800450,2,2,1964
17800451,2,1,1959
17800452,1,1,1964
17800453,1,2,1968
17800454,1,2,1976
17800455,2,2,1964
17800456,1,1,1981
17800457,2,3,1957
17800458,1,3,1974
17800459,1,2,1978
17800460,2,1,1976
17800461,1,2,1957
17800462,1,1,1962
17800463,2,1,1976
17800464,1,2,1966
17800465,1,2,1976
17800466,2,2,1979
17800467,1,2,1961
17800468,2,2,1977
17800469,2,2,1969
17800470,2,2,1965
17800471,1,2,1972
17800472,1,2,1977
17800473,1,1,1974
17800474,1,1,1960
17800475,2,3,1971
17800476,1,2,1958
17800477,1,2,1972
17800478,2,1,1963
17800479,2,2,1976
17800480,1,2,1975
17800481,2,2,1941
17800482,1,2,1965
17800483,2,2,1963
17800484,1,2,1961
17800485,1,2,1968
17800486,1,1,1972
17800487,1,2,1945
17800488,2,1,1958
17800489,2,1,1957
17800490,1,2,1957
17800491,2,2,1973
17800492,1,2,1955
17800493,1,2,1958
17800494,1,2,1967
17800495,1,2,1972
17800496,2,2,1971
17800497,1,2,1967
17800498,1,2,1965
17800499,1,2,1952
17800500,2,2,1960
17800501,1,1,1984
17800502,1,2,1965
17800503,2,1,1956
17800504,2,2,1969
17800505,2,1,1970
17800506,2,2,1954
17800507,2,2,1967
17800508,1,1,1977
17800509,1,1,1976
17800510,1,2,1967
17800511,2,2,1972
